manager_id,store_id,role_title,tenure_years,performance_rating_score,potential_rating,nine_box_quadrant
MGR-301,STORE-101,Store Manager,6.5,4.8,High,Star (High Perf / High Pot)
MGR-302,STORE-101,Assistant Store Manager,3.2,4.5,High,High Potential (High Perf / High Pot)
MGR-303,STORE-101,Grocery Department Lead,4.0,4.2,Medium,Core Contributor (High Perf / Med Pot)
MGR-304,STORE-102,Store Manager,8.0,4.6,Medium,Trusted Professional (High Perf / Med Pot)
MGR-305,STORE-102,Assistant Store Manager,2.8,4.4,High,High Potential (High Perf / High Pot)
MGR-306,STORE-102,Front End Lead,2.0,3.8,High,Emerging Talent (Med Perf / High Pot)
MGR-307,STORE-103,Store Manager,4.5,3.9,Medium,Core Player (Med Perf / Med Pot)
MGR-308,STORE-103,Assistant Store Manager,1.5,4.1,High,High Potential (High Perf / High Pot)
MGR-309,STORE-104,Store Manager,5.0,4.4,High,Star (High Perf / High Pot)
MGR-310,STORE-104,Assistant Store Manager,3.0,4.3,High,High Potential (High Perf / High Pot)
