store_id,fixture_id,category,audit_date,compliance_score_pct,missing_facings_count,auditor_id
STORE-101,FIX-101-01,Snacks & Beverages,2026-07-15,96.5,1,AUD-08
STORE-101,FIX-101-02,Packaged Coffee,2026-07-15,92.0,3,AUD-08
STORE-102,FIX-102-01,Snacks & Beverages,2026-07-16,78.4,8,AUD-12
STORE-102,FIX-102-02,Breakfast Cereal,2026-07-16,84.2,5,AUD-12
STORE-103,FIX-103-01,Seasonal Gourmet,2026-07-17,98.0,0,AUD-05
STORE-104,FIX-104-01,Ready-to-Drink Dairy,2026-07-18,88.5,4,AUD-09
STORE-105,FIX-105-01,Health & Wellness,2026-07-19,91.2,3,AUD-03
STORE-201,FIX-201-01,Snacks & Beverages,2026-07-20,76.0,9,AUD-14
STORE-202,FIX-202-01,Baking & Spices,2026-07-21,89.0,4,AUD-02
STORE-204,FIX-204-01,Organic Pantry,2026-07-22,95.0,2,AUD-07
