rule_id,state_code,jurisdiction_name,state_tax_rate_pct,local_tax_rate_pct,combined_tax_rate_pct,apparel_exemption_flag,digital_goods_taxable_flag,effective_start_date
RUL_100,CA,CA State & Local Combined,7.5,3.13,10.63,NO,YES,2026-01-01
RUL_101,TX,TX State & Local Combined,4.37,1.95,6.32,NO,YES,2026-01-01
RUL_102,NY,NY State & Local Combined,5.26,1.74,7.0,YES,YES,2026-01-01
RUL_103,FL,FL State & Local Combined,6.45,1.05,7.5,NO,YES,2026-01-01
RUL_104,IL,IL State & Local Combined,6.91,1.99,8.9,NO,YES,2026-01-01
RUL_105,WA,WA State & Local Combined,4.03,3.16,7.19,NO,YES,2026-01-01
RUL_106,PA,PA State & Local Combined,6.72,3.43,10.15,YES,YES,2026-01-01
RUL_107,OH,OH State & Local Combined,7.19,2.86,10.05,NO,YES,2026-01-01
RUL_108,GA,GA State & Local Combined,6.91,3.26,10.17,NO,YES,2026-01-01
RUL_109,NC,NC State & Local Combined,6.72,1.58,8.3,NO,YES,2026-01-01
