program_name,month,collection_channel,product_category,weight_collected_lbs,processed_for_recycling_lbs,customer_voucher_rewards_usd
Garment Circularity Loop,2026-01,Store Drop-off Bin,Apparel & Footwear,14500.0,13800.0,7250.0
Garment Circularity Loop,2026-02,Store Drop-off Bin,Apparel & Footwear,15800.0,15100.0,7900.0
Garment Circularity Loop,2026-03,Store Drop-off Bin,Apparel & Footwear,18200.0,17400.0,9100.0
Garment Circularity Loop,2026-04,Store Drop-off Bin,Apparel & Footwear,19500.0,18700.0,9750.0
Garment Circularity Loop,2026-05,Store Drop-off Bin,Apparel & Footwear,22400.0,21500.0,11200.0
Garment Circularity Loop,2026-06,Store Drop-off Bin,Apparel & Footwear,24800.0,23900.0,12400.0
Small Tech Trade-In,2026-01,Mail-in Prepaid Kit,Consumer Electronics,3800.0,3600.0,14500.0
Small Tech Trade-In,2026-02,Mail-in Prepaid Kit,Consumer Electronics,4200.0,4000.0,16200.0
Small Tech Trade-In,2026-03,Mail-in Prepaid Kit,Consumer Electronics,4900.0,4700.0,19000.0
Small Tech Trade-In,2026-04,Mail-in Prepaid Kit,Consumer Electronics,5300.0,5100.0,20800.0
Small Tech Trade-In,2026-05,Mail-in Prepaid Kit,Consumer Electronics,6100.0,5850.0,24000.0
Small Tech Trade-In,2026-06,Mail-in Prepaid Kit,Consumer Electronics,6700.0,6450.0,26500.0
