termination_id,store_id,district_id,department,job_role,tenure_months,termination_type,termination_reason,termination_date
TERM-1001,STORE-101,DIST-01,Cashier & Front End,Cashier,4,Voluntary,Schedule Inflexibility,2026-02-14
TERM-1002,STORE-101,DIST-01,Stocking & Logistics,Overnight Stocker,2,Voluntary,Found Higher Wage Job,2026-03-05
TERM-1003,STORE-101,DIST-01,Grocery & Perishables,Deli Associate,11,Voluntary,Relocation,2026-03-22
TERM-1004,STORE-102,DIST-01,Cashier & Front End,Cashier,3,Voluntary,School Conflict,2026-04-10
TERM-1005,STORE-102,DIST-01,Apparel & Home,Sales Associate,18,Involuntary,Attendance Policy,2026-04-18
TERM-1006,STORE-102,DIST-01,Stocking & Logistics,Overnight Stocker,1,Voluntary,Physical Demands,2026-05-02
TERM-1007,STORE-103,DIST-02,Cashier & Front End,Cashier,5,Voluntary,Found Higher Wage Job,2026-05-19
TERM-1008,STORE-103,DIST-02,Grocery & Perishables,Produce Clerk,8,Voluntary,Manager Conflict,2026-05-28
TERM-1009,STORE-104,DIST-02,Cashier & Front End,Cashier,2,Voluntary,Commute Distance,2026-06-04
TERM-1010,STORE-104,DIST-02,Stocking & Logistics,Material Handler,14,Voluntary,Career Change,2026-06-15
