facility_id,facility_type,month,solar_capacity_kw,generation_mwh,self_consumption_mwh,exported_grid_mwh,avoided_grid_cost_usd
STORE-101,Retail Store,2026-01,250.0,28.5,25.0,3.5,3850.0
STORE-101,Retail Store,2026-02,250.0,32.0,28.0,4.0,4320.0
STORE-101,Retail Store,2026-03,250.0,42.5,36.0,6.5,5740.0
STORE-101,Retail Store,2026-04,250.0,51.0,42.0,9.0,6880.0
STORE-101,Retail Store,2026-05,250.0,62.5,48.0,14.5,8440.0
STORE-101,Retail Store,2026-06,250.0,68.0,52.0,16.0,9180.0
STORE-102,Retail Store,2026-01,300.0,38.0,32.0,6.0,5130.0
STORE-102,Retail Store,2026-02,300.0,44.0,38.0,6.0,5940.0
STORE-102,Retail Store,2026-03,300.0,58.0,48.0,10.0,7830.0
STORE-102,Retail Store,2026-04,300.0,70.0,56.0,14.0,9450.0
STORE-102,Retail Store,2026-05,300.0,82.0,65.0,17.0,11070.0
STORE-102,Retail Store,2026-06,300.0,89.0,70.0,19.0,12015.0
DC-101,Distribution Center,2026-01,1200.0,140.0,125.0,15.0,18900.0
DC-101,Distribution Center,2026-02,1200.0,165.0,145.0,20.0,22275.0
DC-101,Distribution Center,2026-03,1200.0,215.0,185.0,30.0,29025.0
DC-101,Distribution Center,2026-04,1200.0,260.0,220.0,40.0,35100.0
DC-101,Distribution Center,2026-05,1200.0,310.0,255.0,55.0,41850.0
DC-101,Distribution Center,2026-06,1200.0,345.0,280.0,65.0,46575.0
