channel_id,fiscal_month,category,return_reason,units_returned,return_cost_dollars
CHN-001,2026-07,Apparel,Wrong Size,4200,210000.0
CHN-001,2026-07,Apparel,Item Not as Pictured,2100,105000.0
CHN-001,2026-07,Footwear,Wrong Size,1800,108000.0
CHN-001,2026-07,Electronics,Defective/Damaged,1350,135000.0
CHN-002,2026-07,Apparel,Wrong Size,1200,54000.0
CHN-002,2026-07,Home Goods,Buyer Remorse,850,34000.0
CHN-002,2026-07,Electronics,Defective/Damaged,830,41500.0
CHN-003,2026-07,Apparel,Wrong Size,1400,63000.0
CHN-003,2026-07,Footwear,Buyer Remorse,940,47000.0
CHN-004,2026-07,Apparel,Wrong Size,900,45000.0
CHN-004,2026-07,Home Goods,Defective/Damaged,860,43000.0
CHN-005,2026-07,Apparel,Wrong Size,3100,139500.0
CHN-005,2026-07,Electronics,Defective/Damaged,1900,114000.0
CHN-005,2026-07,Footwear,Item Not as Pictured,1840,92000.0
