fixture_id,store_id,bay_type,linear_feet,shelf_tiers,category,utilization_pct
FIX-101-01,STORE-101,Gondola Endcap,12.5,5,Snacks & Beverages,94.2
FIX-101-02,STORE-101,Aisle Run Wall,36.0,6,Packaged Coffee,88.5
FIX-102-01,STORE-102,Gondola Endcap,12.5,5,Snacks & Beverages,91.0
FIX-102-02,STORE-102,Aisle Run Center,24.0,4,Breakfast Cereal,85.3
FIX-103-01,STORE-103,Feature Table,8.0,3,Seasonal Gourmet,96.0
FIX-104-01,STORE-104,Cooler Door Bay,15.0,5,Ready-to-Drink Dairy,92.4
FIX-105-01,STORE-105,Aisle Run Wall,48.0,6,Health & Wellness,87.8
FIX-201-01,STORE-201,Gondola Endcap,12.5,5,Snacks & Beverages,89.6
FIX-202-01,STORE-202,Aisle Run Center,30.0,4,Baking & Spices,84.0
FIX-204-01,STORE-204,Aisle Run Wall,36.0,5,Organic Pantry,93.5
