store_id,sku,category,log_date,spoiled_units,shrink_cost_usd,spoilage_reason,temperature_excursion_flag
STORE-101,SKU-001,Fresh Produce,2026-06-15,45,135.0,Shelf Life Expiration,False
STORE-101,SKU-002,Dairy & Chilled,2026-06-18,28,98.0,Broken Seal Packaging,False
STORE-101,SKU-003,Bakery & Deli,2026-06-20,60,180.0,Daily Overproduction,False
STORE-101,SKU-004,Meat & Seafood,2026-06-22,15,225.0,Cold Storage Defrost,True
STORE-102,SKU-001,Fresh Produce,2026-06-16,52,156.0,Bruising / Handling,False
STORE-102,SKU-002,Dairy & Chilled,2026-06-19,34,119.0,Shelf Life Expiration,False
STORE-102,SKU-003,Bakery & Deli,2026-06-21,48,144.0,Daily Overproduction,False
STORE-102,SKU-004,Meat & Seafood,2026-06-24,12,180.0,Packaging Leak,False
STORE-103,SKU-001,Fresh Produce,2026-06-17,38,114.0,Shelf Life Expiration,False
STORE-103,SKU-002,Dairy & Chilled,2026-06-20,22,77.0,Shelf Life Expiration,False
STORE-103,SKU-003,Bakery & Deli,2026-06-23,55,165.0,Daily Overproduction,False
STORE-103,SKU-004,Meat & Seafood,2026-06-26,18,270.0,Cold Chain Delay,True
STORE-104,SKU-001,Fresh Produce,2026-07-02,65,195.0,Overstocking,False
STORE-104,SKU-002,Dairy & Chilled,2026-07-05,30,105.0,Shelf Life Expiration,False
STORE-104,SKU-003,Bakery & Deli,2026-07-08,70,210.0,Daily Overproduction,False
STORE-104,SKU-004,Meat & Seafood,2026-07-11,10,150.0,Shelf Life Expiration,False
STORE-105,SKU-001,Fresh Produce,2026-07-04,40,120.0,Shelf Life Expiration,False
STORE-105,SKU-002,Dairy & Chilled,2026-07-07,25,87.5,Damage in Transit,False
STORE-105,SKU-003,Bakery & Deli,2026-07-10,50,150.0,Daily Overproduction,False
STORE-105,SKU-004,Meat & Seafood,2026-07-13,14,210.0,Shelf Life Expiration,False
